kind,type,greatest_eclipse_jd_tt,magnitude,saros,eclipsed_longitude_deg
lunar,penumbral,2415508.27127,1.0431,110,222.60718
solar,total,2415522.73181,1.0680,136,56.57100
lunar,partial,2415685.13563,0.2208,115,33.51066
solar,annular,2415699.81135,0.9216,141,228.22210
solar,partial,2415848.08688,0.0643,108,17.80530
lunar,total,2415862.28657,1.3327,120,211.69785
solar,partial,2415877.44046,0.8593,146,46.40841
lunar,total,2416039.75238,1.4566,125,22.93390
solar,partial,2416053.83354,0.6960,151,216.96662
solar,annular,2416202.56624,0.9767,118,7.19726
lunar,partial,2416216.50902,0.9677,130,200.92394
solar,total,2416378.69435,1.0316,123,177.01936
lunar,partial,2416394.13719,0.8654,135,12.18697
lunar,penumbral,2416541.62678,0.1748,102,161.12711
solar,annular,2416556.73662,0.9367,128,356.21891
lunar,penumbral,2416571.02255,0.7036,140,190.37178
solar,total,2416733.36413,1.0709,133,166.70574
lunar,penumbral,2416748.23245,0.5440,145,1.22067
lunar,partial,2416896.29169,0.4049,112,150.48904
solar,annular,2416910.71697,0.9269,138,344.97691
lunar,partial,2417072.65346,0.2871,117,321.62692
solar,total,2417088.04683,1.0477,143,156.46660
lunar,total,2417250.82428,1.6254,122,139.67112
solar,partial,2417264.82176,0.5386,148,333.79791
solar,partial,2417413.05161,0.3355,115,117.83855
lunar,total,2417427.04178,1.7793,127,311.21405
solar,partial,2417442.55058,0.3147,153,146.10376
solar,total,2417589.75397,1.0281,120,292.93787
lunar,partial,2417605.06806,0.7110,132,128.51811
solar,annular,2417767.14204,0.9456,125,107.20254
lunar,partial,2417781.68226,0.6149,137,301.07702
solar,total,2417944.40650,1.0437,130,282.14187
lunar,penumbral,2417959.05667,0.5370,142,117.06984
lunar,penumbral,2418107.08787,0.8135,109,263.07386
solar,annular,2418121.18740,0.9655,135,96.52533
lunar,penumbral,2418136.39855,0.2292,147,291.02800
lunar,penumbral,2418283.41330,1.0344,114,75.43118
solar,hybrid,2418298.98921,1.0024,140,271.28174
lunar,total,2418461.56170,1.1580,119,252.77770
solar,hybrid,2418475.47127,1.0065,145,86.07117
lunar,total,2418637.87131,1.3660,124,64.49156
solar,partial,2418653.32278,0.5424,150,260.17572
solar,total,2418800.73765,1.0600,117,47.71655
lunar,total,2418815.73213,1.0950,129,242.16429
solar,partial,2418977.58926,0.8515,122,218.78243
lunar,total,2418992.51449,1.1246,134,53.78186
solar,total,2419155.43567,1.0562,127,37.50061
lunar,penumbral,2419169.74750,0.7987,139,231.35790
solar,annular,2419331.67572,0.9650,132,207.64383
lunar,penumbral,2419347.15052,0.8154,144,43.11093
lunar,partial,2419494.42657,0.1820,111,191.81798
solar,hybrid,2419509.98220,1.0003,137,27.08470
lunar,partial,2419671.98947,0.1183,116,3.00569
solar,total,2419686.06683,1.0229,142,196.87450
lunar,total,2419848.99848,1.5683,121,181.26704
solar,partial,2419864.23133,0.4244,147,16.30984
solar,partial,2420011.36958,0.1513,114,157.81347
lunar,total,2420026.03355,1.4304,126,352.05812
solar,partial,2420040.69848,0.8252,152,186.41638
solar,annular,2420188.50904,0.9248,119,335.56338
lunar,partial,2420203.67579,0.9111,131,170.75603
solar,total,2420366.02392,1.0328,124,147.59263
lunar,partial,2420380.07983,0.8585,136,341.17507
lunar,penumbral,2420528.70674,0.0451,103,130.24717
solar,annular,2420542.68981,0.9789,129,324.41217
lunar,penumbral,2420558.26356,0.5548,141,160.09588
lunar,penumbral,2420705.01712,0.3545,108,302.42559
solar,annular,2420720.45307,0.9853,134,137.20157
lunar,penumbral,2420734.39395,0.5750,146,330.61053
lunar,partial,2420882.86089,0.1327,113,118.97261
solar,total,2420897.16691,1.0280,139,313.51077
lunar,partial,2421059.69869,0.7944,118,292.34356
solar,annular,2421074.58762,0.9447,144,126.56153
solar,partial,2421222.36553,0.0114,111,272.75165
lunar,total,2421236.82278,1.3642,123,107.48711
solar,partial,2421251.81147,0.7254,149,302.74996
solar,partial,2421399.05302,0.4729,116,87.65467
lunar,total,2421414.40213,1.6185,128,282.29222
solar,partial,2421428.61299,0.0863,154,115.84502
solar,annular,2421576.89398,0.9791,121,261.84033
lunar,total,2421590.90731,1.0056,133,96.11263
solar,total,2421753.42203,1.0292,126,77.27038
lunar,partial,2421768.93615,0.1297,138,272.08483
solar,annular,2421931.14030,0.9383,131,250.66652
lunar,penumbral,2421945.29584,0.8340,143,85.05441
lunar,penumbral,2422093.55139,0.9103,110,233.16412
solar,total,2422108.04786,1.0719,136,67.10344
lunar,partial,2422270.48921,0.1780,115,44.52083
solar,annular,2422285.13486,0.9198,141,239.27584
lunar,total,2422447.57718,1.2194,120,222.32362
solar,partial,2422462.76036,0.9734,146,56.98756
lunar,total,2422625.09141,1.3987,125,33.86329
solar,partial,2422639.16128,0.7420,151,227.96520
solar,annular,2422787.88543,0.9753,118,17.99556
lunar,total,2422801.82267,1.0678,130,211.63275
solar,total,2422964.02498,1.0293,123,187.78447
lunar,partial,2422979.45416,0.9317,135,23.03326
lunar,penumbral,2423126.97833,0.1320,102,172.11200
solar,annular,2423142.04544,0.9381,128,7.07134
lunar,penumbral,2423156.35569,0.7812,140,201.16060
solar,total,2423318.69480,1.0678,133,177.40984
lunar,penumbral,2423333.53044,0.6358,145,11.98056
lunar,partial,2423481.64733,0.3701,112,161.54192
solar,annular,2423496.03123,0.9310,138,355.91000
lunar,partial,2423657.94435,0.1634,117,332.16144
solar,total,2423673.36631,1.0430,143,167.09960
lunar,total,2423836.17286,1.5995,122,150.76776
solar,partial,2423850.15579,0.5819,148,344.81346
solar,partial,2423998.33218,0.1920,115,128.28545
lunar,total,2424012.34757,1.6519,127,321.72181
solar,partial,2424027.84931,0.4245,153,156.66409
solar,total,2424175.12087,1.0304,120,304.13680
lunar,partial,2424190.40442,0.7304,132,139.64555
solar,annular,2424352.40882,0.9436,125,117.61459
lunar,partial,2424366.99510,0.7463,137,311.55835
solar,total,2424529.77567,1.0430,130,293.35436
lunar,penumbral,2424544.38917,0.5551,142,128.22304
lunar,penumbral,2424692.39244,0.6749,109,273.53245
solar,annular,2424706.46252,0.9680,135,106.94739
lunar,penumbral,2424721.70847,0.3542,147,301.49518
lunar,penumbral,2424868.76397,1.0257,114,86.59687
solar,annular,2424884.34922,0.9995,140,282.47753
lunar,total,2425046.85047,1.0123,119,263.24215
solar,total,2425060.76628,1.0128,145,96.51932
lunar,total,2425223.23275,1.3510,124,75.64063
solar,partial,2425238.66645,0.5490,150,271.34527
solar,total,2425386.05856,1.0140,117,58.29694
lunar,total,2425401.00691,1.2421,129,252.64285
solar,partial,2425415.35241,0.0375,155,86.35441
solar,partial,2425562.90861,0.8078,122,229.77604
lunar,total,2425577.87624,1.1486,134,64.88948
solar,total,2425740.75734,1.0562,127,48.12466
lunar,penumbral,2425755.02622,0.9367,139,241.87501
solar,annular,2425917.00359,0.9649,132,218.59039
lunar,penumbral,2425932.50223,0.8460,144,54.16421
lunar,partial,2426079.74924,0.1064,111,202.58210
solar,hybrid,2426095.29414,1.0003,137,37.74875
lunar,partial,2426257.29664,0.0252,116,13.78613
solar,total,2426271.40547,1.0230,142,207.77079
lunar,total,2426434.33883,1.5021,121,192.11936
solar,partial,2426449.53166,0.5107,147,27.03228
solar,partial,2426596.69543,0.0471,114,168.46024
lunar,total,2426611.32534,1.3208,126,2.75193
solar,partial,2426626.03866,0.9005,152,197.24450
solar,annular,2426773.83044,0.9277,119,346.54735
lunar,partial,2426789.02267,0.9666,131,181.67984
solar,total,2426951.33589,1.0257,124,158.17112
lunar,partial,2426965.37569,0.9752,136,351.80827
lunar,penumbral,2427114.05385,0.0182,103,141.37583
solar,annular,2427128.03240,0.9841,129,335.47685
lunar,penumbral,2427143.60628,0.5923,141,171.07844
lunar,penumbral,2427290.32367,0.2322,108,312.89792
solar,annular,2427305.74249,0.9801,134,147.70793
lunar,penumbral,2427319.70301,0.6955,146,341.19723
lunar,partial,2427468.19632,0.1120,113,130.12514
solar,total,2427482.52686,1.0321,139,324.64141
lunar,partial,2427645.01086,0.6612,118,302.80708
solar,annular,2427659.85958,0.9436,144,137.02108
solar,partial,2427807.73317,0.0013,111,283.96119
lunar,total,2427822.15804,1.3499,123,118.65682
solar,partial,2427837.17801,0.7390,149,313.92024
solar,partial,2427984.33317,0.3375,116,98.08234
lunar,total,2427999.70839,1.7542,128,292.74239
solar,partial,2428013.88644,0.2315,154,126.28134
solar,annular,2428162.24991,0.9752,121,273.03122
lunar,total,2428176.25692,1.0173,133,107.30895
solar,total,2428338.72258,1.0329,126,87.73205
lunar,partial,2428354.22596,0.2668,138,282.51614
solar,annular,2428516.47792,0.9349,131,261.81167
lunar,penumbral,2428530.65913,0.8451,143,96.25563
lunar,penumbral,2428678.82748,0.7697,110,243.67831
solar,total,2428693.36183,1.0751,136,77.60345
lunar,partial,2428855.84683,0.1443,115,55.58484
solar,annular,2428870.46233,0.9184,141,250.37354
lunar,total,2429032.86389,1.0966,120,232.89501
solar,total,2429048.07661,1.0552,146,67.52369
lunar,total,2429210.43521,1.3525,125,44.85920
solar,partial,2429224.49473,0.7781,151,239.02134
solar,annular,2429373.19853,0.9731,118,28.73205
lunar,total,2429387.13314,1.1765,130,222.28984
solar,total,2429549.36138,1.0266,123,198.61549
lunar,partial,2429564.77550,0.9877,135,33.93989
lunar,penumbral,2429712.32522,0.0788,102,183.03311
solar,annular,2429727.34816,0.9394,128,17.86027
lunar,penumbral,2429741.68501,0.8683,140,211.89252
solar,total,2429904.03063,1.0645,133,188.18015
lunar,penumbral,2429918.83422,0.7156,145,22.80768
lunar,partial,2430066.99707,0.3226,112,172.52236
solar,annular,2430081.33898,0.9355,138,6.76440
lunar,partial,2430243.24115,0.0511,117,342.75172
solar,total,2430258.69031,1.0379,143,177.79795
lunar,total,2430421.51521,1.5612,122,161.79543
solar,partial,2430435.48411,0.6393,148,355.75048
solar,partial,2430583.61472,0.0561,115,138.76794
lunar,total,2430597.65862,1.5344,127,332.28324
solar,partial,2430613.15245,0.5230,153,167.29040
solar,total,2430760.48484,1.0331,120,315.29419
lunar,partial,2430775.73499,0.7616,132,150.71221
solar,annular,2430937.67793,0.9409,125,128.05383
lunar,partial,2430952.31164,0.8697,137,322.08332
solar,total,2431115.14354,1.0428,130,304.55050
lunar,penumbral,2431129.71872,0.5792,142,139.34115
lunar,penumbral,2431277.69446,0.5328,109,283.96992
solar,annular,2431291.73834,0.9700,135,117.36491
lunar,penumbral,2431307.01865,0.4785,147,311.97209
lunar,penumbral,2431454.11777,1.0220,114,97.79224
solar,annular,2431469.70953,0.9970,140,293.68253
lunar,partial,2431632.13498,0.8593,119,273.66984
solar,total,2431646.06094,1.0180,145,106.94783
lunar,total,2431808.59777,1.3424,124,86.83063
solar,partial,2431824.01124,0.5529,150,282.53549
solar,partial,2431971.37528,0.8865,117,68.82008
lunar,total,2431986.27728,1.3983,129,263.07747
solar,partial,2432000.66109,0.1802,155,96.80206
solar,partial,2432148.23417,0.7758,122,240.83603
lunar,total,2432163.24199,1.1639,134,76.04917
solar,total,2432326.07485,1.0557,127,58.70233
lunar,partial,2432340.30259,0.0202,139,252.35789
solar,annular,2432502.33723,0.9650,132,229.59528
lunar,penumbral,2432517.85728,0.8683,144,65.26538
lunar,partial,2432665.06896,0.0229,111,213.29877
solar,annular,2432680.60144,0.9999,137,48.36903
lunar,penumbral,2432842.60811,1.0140,116,24.62498
solar,total,2432856.74951,1.0231,142,218.72655
lunar,total,2433019.67459,1.4251,121,202.90837
solar,partial,2433034.82561,0.6092,147,37.69127
lunar,total,2433196.62286,1.2236,126,13.50959
solar,partial,2433211.38404,0.9638,152,208.13889
solar,annular,2433359.14723,0.9620,119,357.47102
lunar,total,2433374.36428,1.0329,131,192.53797
solar,total,2433536.65193,1.0182,124,168.81165
lunar,total,2433550.67860,1.0783,136,2.51199
solar,annular,2433713.37060,0.9896,129,346.47849
lunar,penumbral,2433728.94274,0.6418,141,181.99202
lunar,penumbral,2433875.63517,0.1195,108,323.42231
solar,annular,2433891.03601,0.9747,134,158.27550
lunar,penumbral,2433905.01882,0.8034,146,351.85441
lunar,partial,2434053.52764,0.0832,113,141.23520
solar,total,2434067.88304,1.0366,139,335.71855
lunar,partial,2434230.32494,0.5317,118,313.29482
solar,annular,2434245.13443,0.9420,144,147.51707
lunar,total,2434407.49154,1.3314,123,129.80223
solar,partial,2434422.54132,0.7596,149,325.04857
solar,partial,2434569.61405,0.2015,116,108.50340
lunar,total,2434585.01470,1.8628,128,303.20202
solar,partial,2434599.16323,0.3729,154,136.74520
solar,annular,2434747.60557,0.9720,121,284.22549
lunar,total,2434761.60580,1.0322,133,118.48858
solar,total,2434924.02266,1.0357,126,98.17372
lunar,partial,2434939.51448,0.4054,138,292.94641
solar,annular,2435101.81715,0.9323,131,272.98085
lunar,penumbral,2435116.02315,0.8555,143,107.46024
lunar,penumbral,2435264.09957,0.6218,110,254.14921
solar,total,2435278.67410,1.0776,136,88.07671
lunar,partial,2435441.20833,0.1190,115,66.70094
solar,annular,2435455.79334,0.9176,141,261.50908
lunar,partial,2435618.14713,0.9647,120,243.41526
solar,total,2435633.38934,1.0581,146,78.01980
lunar,total,2435795.78352,1.3172,125,55.91832
solar,partial,2435809.83374,0.8047,151,250.13368
solar,annular,2435958.50380,0.9799,118,39.38709
lunar,total,2435972.43852,1.2982,130,232.87213
solar,total,2436134.70419,1.0013,123,209.52205
lunar,total,2436150.10243,1.0305,135,44.92120
lunar,penumbral,2436297.66684,0.0135,102,193.88396
solar,annular,2436312.64395,0.9408,128,28.57540
lunar,partial,2436327.00936,0.0092,140,222.55427
solar,total,2436489.37185,1.0608,133,199.02232
lunar,penumbral,2436504.14433,0.7825,145,33.70757
lunar,partial,2436652.34163,0.2643,112,183.44126
solar,annular,2436666.64176,0.9401,138,17.55619
lunar,penumbral,2436828.54418,0.9874,117,353.40214
solar,total,2436844.01875,1.0325,143,188.56102
lunar,total,2437006.85302,1.5145,122,172.77736
solar,partial,2437020.80911,0.7058,148,6.63816
lunar,total,2437182.97351,1.4239,127,342.88208
solar,partial,2437198.45829,0.6139,153,177.96122
solar,total,2437345.84708,1.0360,120,326.42668
lunar,partial,2437361.06157,0.8006,132,161.73998
solar,annular,2437522.94916,0.9375,125,138.51649
lunar,partial,2437537.63115,0.9863,137,332.64473
solar,total,2437700.50877,1.0430,130,315.71477
lunar,penumbral,2437715.04424,0.6120,142,150.41197
lunar,penumbral,2437862.99640,0.3924,109,294.41813
solar,annular,2437877.01774,0.9716,135,127.81123
lunar,penumbral,2437892.33160,0.5963,147,322.49191
lunar,penumbral,2438039.47201,1.0180,114,108.98547
solar,annular,2438055.06750,0.9951,140,304.86405
lunar,partial,2438217.41874,0.7060,119,284.10313
solar,total,2438231.35848,1.0224,145,117.39795
lunar,total,2438393.96348,1.3350,124,98.02581
solar,partial,2438409.35426,0.5591,150,293.71117
solar,partial,2438556.69036,0.7545,117,79.32003
lunar,total,2438571.54641,1.5565,129,273.50277
solar,partial,2438585.97075,0.3221,155,107.25553
solar,partial,2438733.56382,0.7518,122,251.93803
lunar,total,2438748.60965,1.1748,134,87.23425
solar,total,2438911.38716,1.0544,127,69.22125
lunar,partial,2438925.57600,0.1767,139,262.79751
solar,annular,2439087.67698,0.9656,132,240.66362
lunar,penumbral,2439103.21565,0.8820,144,76.41337
lunar,penumbral,2439250.38340,0.9157,111,223.93831
solar,annular,2439265.90211,0.9991,137,58.92146
lunar,penumbral,2439427.92561,0.9517,116,35.54103
solar,total,2439442.09963,1.0234,142,229.75257
lunar,total,2439605.00491,1.3356,121,213.62235
solar,partial,2439620.11306,0.7201,147,48.28336
lunar,total,2439781.92764,1.1426,126,24.34644
solar,total,2439796.73537,1.0126,152,219.10936
solar,partial,2439944.45868,0.8990,119,8.32532
lunar,total,2439959.70001,1.1116,131,203.32349
solar,total,2440121.97137,1.0099,124,179.50490
lunar,total,2440135.98791,1.1691,136,13.27841
solar,annular,2440298.70483,0.9954,129,357.42219
lunar,penumbral,2440314.27299,0.7033,141,192.83738
lunar,penumbral,2440460.95017,0.0131,108,333.98156
solar,annular,2440476.33263,0.9690,134,168.89123
lunar,penumbral,2440490.34050,0.9007,146,2.57275
lunar,partial,2440638.85466,0.0463,113,152.30066
solar,total,2440653.23507,1.0414,139,346.73771
lunar,partial,2440815.64174,0.4079,118,323.81753
solar,annular,2440830.41354,0.9400,144,158.06360
lunar,total,2440992.82316,1.3082,123,140.92167
solar,partial,2441007.90147,0.7872,149,336.13568
solar,partial,2441154.89716,0.0689,116,118.93646
lunar,total,2441170.32213,1.7283,128,313.68502
solar,partial,2441184.44411,0.5080,154,147.24544
solar,annular,2441332.96067,0.9692,121,295.41925
lunar,total,2441346.95422,1.0497,133,129.65455
solar,total,2441509.32405,1.0379,126,108.61853
lunar,partial,2441524.80303,0.5427,138,303.39039
solar,annular,2441687.15719,0.9303,131,284.16459
lunar,penumbral,2441701.38748,0.8655,143,118.66380
lunar,penumbral,2441849.36853,0.4685,110,264.58579
solar,total,2441863.98520,1.0792,136,98.53029
lunar,penumbral,2441878.98564,0.1046,148,292.83309
lunar,partial,2442026.57299,0.1007,115,77.85901
solar,annular,2442041.12690,0.9174,141,272.67099
lunar,partial,2442203.42829,0.8269,120,253.89982
solar,total,2442218.70005,1.0592,146,88.49487
lunar,total,2442381.13480,1.2896,125,67.02048
solar,partial,2442395.17584,0.8266,151,261.27400
solar,partial,2442543.80385,0.8636,118,49.99242
lunar,total,2442557.74221,1.4253,130,243.41976
solar,partial,2442720.05271,0.9588,123,220.49492
lunar,total,2442735.43347,1.0642,135,55.95743
solar,annular,2442897.93354,0.9421,128,39.22549
lunar,partial,2442912.32995,0.1217,140,233.16038
solar,total,2443074.71788,1.0572,133,209.92731
lunar,penumbral,2443089.45971,0.8383,145,44.66736
lunar,partial,2443237.67991,0.1928,112,194.28395
solar,annular,2443251.93854,0.9449,138,28.27226
lunar,penumbral,2443413.85426,0.9007,117,4.12300
solar,total,2443429.35240,1.0269,143,199.39750
lunar,total,2443592.18277,1.4518,122,183.67012
solar,partial,2443606.12763,0.7883,148,17.43576
lunar,total,2443768.29515,1.3268,127,353.55484
solar,partial,2443783.76994,0.6905,153,188.71290
solar,total,2443931.20493,1.0391,120,337.49790
lunar,partial,2443946.38116,0.8538,132,172.69349
solar,annular,2444108.22405,0.9329,125,149.01931
lunar,total,2444122.95488,1.0936,137,343.25837
solar,total,2444285.87084,1.0434,130,326.83927
lunar,penumbral,2444300.36531,0.6545,142,161.42968
lunar,penumbral,2444448.29791,0.2535,109,304.87206
solar,annular,2444462.30024,0.9727,135,138.27967
lunar,penumbral,2444477.64676,0.7089,147,333.04655
lunar,penumbral,2444624.82694,1.0136,114,120.17943
solar,annular,2444640.42319,0.9937,140,316.02354
lunar,partial,2444802.69977,0.5486,119,294.51831
solar,total,2444816.65737,1.0258,145,127.84984
lunar,total,2444979.33106,1.3310,124,109.24040
solar,partial,2444994.69645,0.5663,150,304.88381
solar,partial,2445142.00316,0.6168,117,89.78832
lunar,total,2445156.81374,1.7179,129,283.91214
solar,partial,2445171.28106,0.4643,155,117.71083
solar,partial,2445318.89733,0.7350,122,263.07946
lunar,total,2445333.97890,1.1822,134,98.44014
solar,total,2445496.69691,1.0524,127,79.71566
lunar,partial,2445510.84943,0.3348,139,273.22764
solar,annular,2445673.02170,0.9666,132,251.78189
lunar,penumbral,2445688.57635,0.8890,144,87.59559
lunar,penumbral,2445835.69517,0.8071,111,234.53292
solar,annular,2445851.19839,0.9980,137,69.43509
lunar,penumbral,2445865.10184,0.0647,149,262.73820
lunar,penumbral,2446013.24731,0.8992,116,46.51248
solar,total,2446027.45436,1.0237,142,240.83047
lunar,total,2446190.33147,1.2369,121,224.28315
solar,partial,2446205.39558,0.8406,147,58.82745
lunar,total,2446367.23839,1.0736,126,35.24829
solar,total,2446382.09128,1.0388,152,230.13877
solar,partial,2446529.76484,0.8236,119,19.10923
lunar,total,2446545.03021,1.2022,131,214.04176
solar,hybrid,2446707.29601,1.0000,124,190.27298
lunar,total,2446721.30479,1.2455,136,24.12198
solar,hybrid,2446884.03457,1.0013,129,8.29967
lunar,penumbral,2446899.59711,0.7769,141,203.61750
solar,annular,2447061.63359,0.9634,134,179.56910
lunar,penumbral,2447075.66840,0.9863,146,13.35723
lunar,penumbral,2447224.17617,1.0907,113,163.30726
solar,total,2447238.58259,1.0464,139,357.69315
lunar,partial,2447400.96214,0.2915,118,334.38706
solar,annular,2447415.69756,0.9377,144,168.66660
lunar,total,2447578.15021,1.2747,123,151.98383
solar,partial,2447593.25603,0.8268,149,347.15097
lunar,total,2447755.63133,1.5984,128,324.20044
solar,partial,2447769.73041,0.6344,154,157.79607
solar,annular,2447918.31347,0.9670,121,306.59134
lunar,total,2447932.30002,1.0750,133,140.77992
solar,total,2448094.62716,1.0391,126,119.07175
lunar,partial,2448110.09255,0.6766,138,313.86040
solar,annular,2448272.49573,0.9290,131,295.33617
lunar,penumbral,2448286.74975,0.8807,143,129.83579
lunar,penumbral,2448434.63589,0.3126,110,275.00412
solar,total,2448449.29654,1.0800,136,108.98320
lunar,penumbral,2448464.25613,0.2542,148,303.26022
lunar,partial,2448611.94028,0.0876,115,89.05224
solar,annular,2448626.46223,0.9179,141,283.85015
lunar,partial,2448788.70691,0.6822,120,264.34243
solar,total,2448804.00789,1.0592,146,98.94045
lunar,total,2448966.48964,1.2709,125,78.17339
solar,partial,2448980.52200,0.8422,151,272.45372
solar,partial,2449129.09740,0.7352,118,60.53298
lunar,total,2449143.04266,1.5617,130,253.91363
solar,partial,2449305.40684,0.9280,123,231.53543
lunar,total,2449320.76882,1.0876,135,67.05143
solar,annular,2449483.21697,0.9431,128,49.81009
lunar,partial,2449497.64676,0.2432,140,243.71184
solar,total,2449660.06951,1.0535,133,220.90661
lunar,penumbral,2449674.78118,0.8815,145,55.69533
lunar,partial,2449823.01324,0.1114,112,205.06990
solar,annular,2449837.23149,0.9497,138,38.93673
lunar,penumbral,2449999.17028,0.8252,117,14.90198
solar,total,2450014.68993,1.0213,143,210.29125
lunar,total,2450177.50749,1.3795,122,194.51304
solar,partial,2450191.44319,0.8799,148,28.18629
lunar,total,2450353.62181,1.2395,127,4.28173
solar,partial,2450369.08546,0.7575,153,199.52092
solar,total,2450516.55892,1.0420,120,348.51705
lunar,partial,2450531.69477,0.9195,132,183.58555
solar,partial,2450693.50333,0.8988,125,159.56935
lunar,total,2450708.28313,1.1909,137,353.92982
solar,total,2450871.22878,1.0441,130,337.91284
lunar,penumbral,2450885.68134,0.7086,142,172.38661
lunar,penumbral,2451033.60135,0.1206,109,315.36262
solar,annular,2451047.58832,0.9734,135,148.80004
lunar,penumbral,2451062.96610,0.8121,147,343.66250
lunar,penumbral,2451210.17957,1.0027,114,131.33735
solar,annular,2451225.77405,0.9928,140,327.13016
lunar,partial,2451387.98248,0.3966,119,304.96670
solar,total,2451401.96122,1.0286,145,138.34973
lunar,total,2451564.69762,1.3246,124,120.43837
solar,partial,2451580.03503,0.5795,150,316.02072
