kind,type,greatest_eclipse_jd_tt,magnitude,saros,eclipsed_longitude_deg
solar,partial,2451727.31498,0.4768,117,100.24374
lunar,total,2451742.08101,1.7684,129,294.32381
solar,partial,2451756.59315,0.6034,155,128.18398
solar,partial,2451904.23330,0.7228,122,274.24424
lunar,total,2451919.34838,1.1889,134,109.64956
solar,total,2452082.00331,1.0495,127,90.17634
lunar,partial,2452096.12249,0.4947,139,283.64218
solar,annular,2452258.37015,0.9681,132,262.93696
lunar,penumbral,2452273.93775,0.8933,144,98.79129
lunar,penumbral,2452421.00308,0.6893,111,245.06748
solar,annular,2452436.48984,0.9962,137,79.90396
lunar,penumbral,2452450.39459,0.2095,149,273.18111
lunar,penumbral,2452598.57477,0.8600,116,57.55549
solar,total,2452612.81407,1.0244,142,251.96595
lunar,total,2452775.65362,1.1276,121,234.88343
solar,annular,2452790.67317,0.9384,147,69.32265
lunar,total,2452952.55530,1.0178,126,46.21631
solar,total,2452967.45164,1.0379,152,241.22574
solar,partial,2453115.06603,0.7367,119,29.82607
lunar,total,2453130.35506,1.3035,131,224.69589
solar,partial,2453292.62527,0.9282,124,201.10747
lunar,total,2453306.62860,1.3081,136,35.03616
solar,hybrid,2453469.35892,1.0074,129,19.10107
lunar,penumbral,2453484.91383,0.8650,141,214.31770
solar,annular,2453646.93943,0.9576,134,190.31439
lunar,partial,2453661.00309,0.0625,146,24.21700
lunar,penumbral,2453809.49206,1.0300,113,174.25360
solar,total,2453823.92527,1.0515,139,8.58116
lunar,partial,2453986.28640,0.1837,118,345.00829
solar,annular,2454000.98699,0.9352,144,179.33175
lunar,total,2454163.47360,1.2328,123,162.99855
solar,partial,2454178.60622,0.8756,149,358.11092
lunar,total,2454340.94337,1.4758,128,334.76100
solar,partial,2454355.02250,0.7507,154,168.40236
solar,annular,2454503.66400,0.9650,121,317.74307
lunar,total,2454517.64385,1.1062,133,151.87341
solar,total,2454679.93208,1.0394,126,129.53601
lunar,partial,2454695.38278,0.8076,138,324.35224
solar,annular,2454857.83316,0.9282,131,306.49996
lunar,penumbral,2454872.11067,0.8994,143,140.98569
lunar,penumbral,2455019.90258,0.1562,110,285.41376
solar,total,2455034.60862,1.0799,136,119.44253
lunar,penumbral,2455049.52799,0.4019,148,313.70836
lunar,partial,2455197.30817,0.0763,115,100.25494
solar,annular,2455211.79698,0.9190,141,295.01988
lunar,partial,2455373.98581,0.5368,120,274.77523
solar,total,2455389.31572,1.0580,146,109.39252
lunar,total,2455551.84588,1.2561,125,89.34858
solar,partial,2455565.86924,0.8576,151,283.63762
solar,partial,2455714.38701,0.6010,118,71.04027
lunar,total,2455728.34286,1.6999,130,264.39057
solar,partial,2455743.86076,0.0971,156,99.19623
solar,partial,2455890.76486,0.9047,123,242.62091
lunar,total,2455906.10620,1.1061,135,78.17515
solar,annular,2456068.49576,0.9439,128,60.34574
lunar,partial,2456082.96134,0.3704,140,254.22731
solar,total,2456245.42564,1.0500,133,231.94458
lunar,penumbral,2456260.10703,0.9155,145,66.77200
lunar,partial,2456408.33933,0.0148,112,215.76935
solar,annular,2456422.51829,0.9544,138,49.52187
lunar,penumbral,2456437.67437,0.0157,150,244.12489
lunar,penumbral,2456584.49404,0.7649,117,25.76156
solar,hybrid,2456600.03306,1.0159,143,221.26165
lunar,total,2456762.82417,1.2907,122,205.26845
solar,annular,2456776.75316,0.9868,148,38.85556
lunar,total,2456938.95537,1.1659,127,15.08709
solar,partial,2456954.40670,0.8114,153,210.40634
solar,total,2457101.90749,1.0445,120,359.46186
lunar,total,2457117.00097,1.0008,132,194.39895
solar,partial,2457278.78841,0.7875,125,170.18127
lunar,total,2457293.61686,1.2764,137,4.67086
solar,total,2457456.58216,1.0450,130,348.93009
lunar,penumbral,2457470.99191,0.7747,142,183.27801
solar,annular,2457632.88058,0.9736,135,159.35550
lunar,penumbral,2457648.28851,0.9080,147,354.32498
lunar,penumbral,2457795.53128,0.9884,114,142.47618
solar,annular,2457811.12122,0.9922,140,338.19835
lunar,partial,2457973.26502,0.2464,119,315.42609
solar,total,2457987.26852,1.0306,145,148.87911
lunar,total,2458150.06319,1.3155,124,131.61989
solar,partial,2458165.36983,0.5991,150,327.12077
solar,partial,2458312.62657,0.3365,117,110.69601
lunar,total,2458327.34924,1.6087,129,304.74899
solar,partial,2458341.90796,0.7368,155,138.68734
solar,partial,2458489.57127,0.7145,122,285.42666
lunar,total,2458504.71767,1.1953,134,120.85689
solar,total,2458667.30841,1.0459,127,100.63050
lunar,partial,2458681.39716,0.6531,139,294.06427
solar,annular,2458843.72145,0.9701,132,274.11760
lunar,penumbral,2458859.29943,0.8956,144,109.99573
lunar,penumbral,2459006.30988,0.5683,111,255.57583
solar,annular,2459021.77865,0.9940,137,90.35560
lunar,penumbral,2459035.68833,0.3546,149,283.62048
lunar,penumbral,2459183.90557,0.8285,116,68.64299
solar,total,2459198.17684,1.0254,142,263.13522
lunar,total,2459360.97214,1.0095,121,245.43263
solar,annular,2459375.94661,0.9435,147,79.77794
lunar,partial,2459537.87785,0.9742,126,57.24505
solar,total,2459552.81572,1.0367,152,252.36052
solar,partial,2459700.36292,0.6396,119,40.48214
lunar,total,2459715.67549,1.4137,131,235.29819
solar,partial,2459877.95926,0.8619,124,212.00966
lunar,total,2459891.95859,1.3589,136,46.01278
solar,hybrid,2460054.67912,1.0132,129,29.83928
lunar,penumbral,2460070.22506,0.9636,141,224.96245
solar,annular,2460232.25047,0.9520,134,201.12908
lunar,partial,2460246.34396,0.1220,146,35.14441
lunar,penumbral,2460394.80138,0.9557,113,185.12925
solar,total,2460409.26284,1.0566,139,19.39803
lunar,partial,2460571.61487,0.0848,118,355.68581
solar,annular,2460586.28209,0.9326,144,190.06053
lunar,total,2460748.79162,1.1784,123,173.94516
solar,partial,2460763.95042,0.9376,149,8.99438
lunar,total,2460926.25900,1.3619,128,345.37720
solar,partial,2460940.32157,0.8550,154,179.07759
solar,annular,2461089.00910,0.9630,121,328.83646
lunar,total,2461102.98255,1.1507,133,162.89524
solar,total,2461265.24104,1.0386,126,140.03905
lunar,partial,2461280.67644,0.9299,138,334.89820
solar,annular,2461443.16722,0.9281,131,317.62959
lunar,penumbral,2461457.46813,0.9266,143,152.08562
lunar,penumbral,2461605.16955,0.0014,110,295.82458
solar,total,2461619.92211,1.0790,136,129.91833
lunar,penumbral,2461634.80207,0.5456,148,324.18692
lunar,partial,2461782.67654,0.0662,115,111.46584
solar,annular,2461797.13124,0.9208,141,306.18043
lunar,partial,2461959.26455,0.3892,120,285.19160
solar,total,2461974.62269,1.0560,146,119.84182
lunar,total,2462137.20365,1.2463,125,100.54954
solar,partial,2462151.21792,0.8714,151,294.83087
solar,partial,2462299.67098,0.4576,118,81.49462
lunar,total,2462313.64123,1.8436,130,274.83078
solar,partial,2462329.15091,0.2303,156,109.61927
solar,partial,2462476.12775,0.8911,123,253.76515
lunar,total,2462491.44667,1.1174,135,89.34111
solar,annular,2462653.77029,0.9443,128,70.83659
lunar,partial,2462668.27400,0.5025,140,264.71238
solar,total,2462830.78584,1.0468,133,243.03746
lunar,penumbral,2462845.43670,0.9416,145,77.89088
lunar,penumbral,2462993.66113,0.8814,112,226.42249
solar,annular,2463007.80282,0.9589,138,60.07153
lunar,penumbral,2463022.98978,0.1292,150,254.64673
lunar,penumbral,2463169.82413,0.7161,117,36.68563
solar,hybrid,2463185.38022,1.0106,143,232.28959
lunar,total,2463348.13531,1.1913,122,215.96993
solar,annular,2463362.06021,0.9957,148,49.47718
lunar,total,2463524.29421,1.1028,127,25.95260
solar,partial,2463539.73209,0.8554,153,221.35013
solar,total,2463687.25181,1.0462,120,10.34898
lunar,total,2463702.30128,1.0944,132,205.15168
solar,partial,2463864.07953,0.6890,125,180.85770
lunar,total,2463878.95582,1.3497,137,15.48046
solar,total,2464041.92969,1.0458,130,359.87578
lunar,penumbral,2464056.29652,0.8545,142,194.09666
solar,annular,2464218.18019,0.9736,135,169.98408
lunar,partial,2464233.61640,0.0144,147,5.06504
lunar,penumbral,2464380.87931,0.9652,114,153.56150
solar,annular,2464396.46243,0.9919,140,349.20144
lunar,partial,2464558.55017,0.1037,119,325.92835
solar,total,2464572.58109,1.0320,145,159.46267
lunar,total,2464735.42576,1.2995,124,142.75964
solar,partial,2464750.69918,0.6286,150,338.16433
solar,partial,2464897.93896,0.1991,117,121.15977
lunar,total,2464912.61981,1.4544,129,315.20118
solar,partial,2464927.22622,0.8622,155,149.23181
solar,partial,2465074.90897,0.7049,122,296.60090
lunar,total,2465090.08447,1.2074,134,132.03364
solar,total,2465252.61153,1.0413,127,111.07061
lunar,partial,2465266.67353,0.8095,139,304.49343
solar,annular,2465429.07443,0.9728,132,285.31099
lunar,penumbral,2465444.65963,0.8996,144,121.18685
lunar,penumbral,2465591.61461,0.4422,111,266.04635
solar,annular,2465607.06453,0.9911,137,100.78679
lunar,penumbral,2465620.98329,0.4999,149,294.06010
lunar,penumbral,2465769.23958,0.8046,116,79.77212
solar,total,2465783.54178,1.0268,142,274.32797
lunar,partial,2465946.28779,0.8846,121,255.94211
solar,annular,2465961.21729,0.9454,147,90.20837
lunar,partial,2466123.20588,0.9426,126,68.33217
solar,total,2466138.18317,1.0356,152,263.53930
solar,partial,2466285.65488,0.5306,119,51.07029
lunar,total,2466300.99053,1.5348,131,245.83859
solar,partial,2466463.29794,0.8074,124,222.97862
lunar,total,2466477.29491,1.3974,136,57.05524
solar,total,2466639.99469,1.0189,129,40.50937
lunar,partial,2466655.52990,0.0645,141,235.54141
solar,annular,2466817.56692,0.9467,134,212.01552
lunar,partial,2466831.69103,0.1696,146,46.14304
lunar,penumbral,2466980.10429,0.8680,113,195.93560
solar,total,2466994.59549,1.0614,139,30.14693
lunar,penumbral,2467156.94846,0.9528,118,6.43212
solar,annular,2467171.58382,0.9300,144,200.86319
lunar,total,2467334.10560,1.1142,123,184.83880
solar,total,2467349.29015,1.0095,149,19.82276
lunar,total,2467511.57766,1.2556,128,356.04109
solar,annular,2467525.62626,0.9497,154,189.80712
solar,annular,2467674.35045,0.9600,121,339.89315
lunar,total,2467688.31844,1.2031,133,173.87417
solar,total,2467850.55350,1.0364,126,150.57646
lunar,total,2467865.97273,1.0456,138,345.48704
solar,annular,2468028.49730,0.9285,131,328.71880
lunar,penumbral,2468042.82183,0.9623,143,163.13325
solar,total,2468205.23795,1.0774,136,140.42398
lunar,penumbral,2468220.07975,0.6825,148,334.70994
lunar,partial,2468368.04348,0.0532,115,122.66024
solar,annular,2468382.46280,0.9232,141,317.30647
lunar,partial,2468544.54589,0.2461,120,295.62473
solar,total,2468559.93140,1.0531,146,130.32219
lunar,total,2468722.55988,1.2341,125,111.73745
solar,partial,2468736.56479,0.8907,151,305.99438
solar,partial,2468884.95314,0.3129,118,91.94089
lunar,total,2468898.94149,1.7513,130,285.28062
solar,partial,2468914.44186,0.3604,156,120.06601
solar,partial,2469061.49319,0.8816,123,264.93812
lunar,total,2469076.78744,1.1280,135,100.51619
solar,annular,2469239.04089,0.9441,128,81.28580
lunar,partial,2469253.58505,0.6388,140,275.17108
solar,total,2469416.14962,1.0440,133,254.17726
lunar,penumbral,2469430.76931,0.9617,145,89.04163
lunar,penumbral,2469578.97684,0.7638,112,237.00580
solar,annular,2469593.08332,0.9631,138,70.56381
lunar,penumbral,2469608.30153,0.2511,150,265.12514
lunar,penumbral,2469755.16124,0.6808,117,47.68446
solar,hybrid,2469770.73181,1.0057,143,243.37905
lunar,total,2469933.43891,1.0767,122,226.59289
solar,hybrid,2469947.36308,1.0038,148,60.03388
lunar,total,2470109.64013,1.0538,127,36.90065
solar,partial,2470125.06311,0.8874,153,232.36813
solar,partial,2470272.59073,0.9849,120,21.16267
lunar,total,2470287.59477,1.2022,132,215.83279
solar,partial,2470449.37655,0.6024,125,191.59698
lunar,total,2470464.29988,1.4118,137,26.35605
solar,total,2470627.27214,1.0466,130,10.75973
lunar,penumbral,2470641.59590,0.9466,142,204.85096
solar,annular,2470803.48553,0.9734,135,180.66753
lunar,partial,2470818.94859,0.0821,147,15.86654
lunar,penumbral,2470966.22373,0.9323,114,164.59481
solar,annular,2470981.79744,0.9919,140,0.13776
lunar,penumbral,2471143.83738,1.0191,119,336.46648
solar,total,2471157.89872,1.0328,145,170.09839
lunar,total,2471320.78573,1.2769,124,153.86213
solar,partial,2471336.02338,0.6678,150,349.15563
solar,partial,2471483.25280,0.0655,117,131.64435
lunar,total,2471497.89340,1.3062,129,325.68816
solar,partial,2471512.54831,0.9793,155,159.82324
solar,partial,2471660.24589,0.6932,122,307.76080
lunar,total,2471675.44881,1.2246,134,143.18001
solar,total,2471837.91516,1.0359,127,121.52851
lunar,partial,2471851.95368,0.9594,139,314.95397
solar,annular,2472014.42830,0.9759,132,296.50720
lunar,penumbral,2472030.01812,0.9056,144,132.36334
lunar,penumbral,2472176.91885,0.3143,111,276.49949
solar,annular,2472192.34860,0.9878,137,111.21163
lunar,penumbral,2472206.28014,0.6435,149,304.50843
lunar,penumbral,2472354.57565,0.7857,116,90.93020
solar,total,2472368.90824,1.0287,142,285.53557
lunar,partial,2472531.60162,0.7555,121,266.42500
solar,annular,2472546.48628,0.9464,147,100.62602
lunar,partial,2472708.53725,0.9181,126,79.45409
solar,total,2472723.55179,1.0348,152,274.73345
solar,partial,2472870.94404,0.4141,119,61.61357
lunar,total,2472886.30264,1.6611,131,256.34875
solar,partial,2472900.51360,0.1260,157,89.92967
solar,partial,2473048.64105,0.7644,124,234.01003
lunar,total,2473062.63632,1.4260,136,68.14854
solar,total,2473225.30713,1.0242,129,51.12844
lunar,partial,2473240.83027,0.1829,141,246.07995
solar,annular,2473402.88767,0.9417,134,222.95994
lunar,partial,2473417.04278,0.2079,146,57.19309
lunar,penumbral,2473565.40074,0.7674,113,206.67225
solar,total,2473579.92361,1.0660,139,40.83164
lunar,penumbral,2473742.28718,0.8796,118,17.24677
solar,annular,2473756.89178,0.9277,144,211.73543
lunar,penumbral,2473771.66962,0.0266,156,46.51417
lunar,total,2473919.41256,1.0341,123,195.64427
solar,total,2473934.62279,1.0475,149,30.56231
lunar,total,2474096.90154,1.1621,128,6.78022
solar,annular,2474110.93900,0.9469,154,200.61973
solar,partial,2474259.68491,0.9331,121,350.87525
lunar,total,2474273.64850,1.2695,133,184.77203
solar,partial,2474435.87115,0.9749,126,161.17052
lunar,total,2474451.27363,1.1496,138,356.14241
solar,annular,2474613.82187,0.9293,131,339.74977
lunar,partial,2474628.17071,0.0342,143,174.11401
solar,total,2474790.55707,1.0750,136,150.97172
lunar,penumbral,2474805.36194,0.8101,148,345.28689
lunar,partial,2474953.40899,0.0377,115,133.83955
solar,annular,2474967.79193,0.9262,141,328.40081
lunar,partial,2475129.82833,0.1038,120,306.05578
solar,total,2475145.24035,1.0495,146,140.81548
lunar,total,2475307.91595,1.2231,125,122.93074
solar,partial,2475321.91141,0.9123,151,317.14663
solar,partial,2475470.23185,0.1638,118,102.36060
lunar,total,2475484.24213,1.6121,130,295.72162
solar,partial,2475499.73214,0.4903,156,130.51943
solar,partial,2475646.86106,0.8769,123,276.13988
lunar,total,2475662.12832,1.1378,135,111.69906
solar,annular,2475824.30958,0.9435,128,91.71551
lunar,partial,2475838.89617,0.7753,140,285.62665
solar,total,2476001.51644,1.0416,133,265.35844
lunar,penumbral,2476016.10428,0.9773,145,100.21734
lunar,penumbral,2476164.28898,0.6403,112,247.55448
solar,annular,2476178.36280,0.9670,138,81.03380
lunar,penumbral,2476193.61187,0.3754,150,275.59225
lunar,penumbral,2476340.50326,0.6544,117,58.73300
solar,hybrid,2476356.08591,1.0011,143,254.50727
lunar,partial,2476518.73770,0.9532,122,237.17212
solar,total,2476532.66434,1.0110,148,70.55725
lunar,total,2476694.99097,1.0149,127,47.90664
solar,partial,2476710.39757,0.9109,153,243.43513
solar,partial,2476857.92441,0.8992,120,31.90670
lunar,total,2476872.88191,1.3229,132,226.44831
solar,partial,2476887.24535,0.0879,158,60.31453
solar,partial,2477034.68051,0.5298,125,202.41047
lunar,total,2477049.64938,1.4616,137,37.30346
solar,total,2477212.60844,1.0472,130,21.57007
lunar,penumbral,2477226.88986,1.0515,142,215.53721
solar,annular,2477388.79788,0.9731,135,191.42217
lunar,partial,2477404.28556,0.1383,147,26.73646
lunar,penumbral,2477551.56330,0.8879,114,175.55995
solar,annular,2477567.12576,0.9919,140,11.00254
lunar,penumbral,2477729.12895,0.8989,119,347.06553
solar,total,2477743.22255,1.0333,145,180.80238
lunar,total,2477906.14105,1.2441,124,164.90275
solar,partial,2477921.34064,0.7199,150,0.07420
lunar,total,2478083.17062,1.1662,129,336.21524
solar,total,2478097.87454,1.0558,155,170.46761
solar,partial,2478245.58054,0.6768,122,318.88863
lunar,total,2478260.80895,1.2503,134,154.27483
solar,total,2478423.21902,1.0294,127,132.00162
lunar,total,2478437.23797,1.1013,139,325.44973
solar,annular,2478599.78073,0.9798,132,307.67896
lunar,penumbral,2478615.37220,0.9191,144,143.49180
lunar,penumbral,2478762.22336,0.1870,111,286.94514
solar,annular,2478777.63231,0.9838,137,121.64695
lunar,penumbral,2478791.58059,0.7813,149,314.98718
lunar,penumbral,2478939.91323,0.7714,116,102.10970
solar,total,2478954.27505,1.0311,142,296.74438
lunar,partial,2479116.91360,0.6220,121,276.88370
solar,annular,2479131.75398,0.9467,147,111.03413
lunar,partial,2479293.87216,0.9013,126,90.61266
solar,total,2479308.92184,1.0342,152,285.94763
solar,partial,2479456.23012,0.2897,119,72.10822
lunar,total,2479471.61096,1.7943,131,266.81949
solar,partial,2479485.78522,0.2746,157,100.34256
solar,partial,2479633.98821,0.7315,124,245.09995
lunar,total,2479647.98253,1.4460,136,79.29169
solar,total,2479810.61534,1.0290,129,61.68393
lunar,partial,2479826.12491,0.3123,141,256.56384
solar,annular,2479988.21384,0.9371,134,233.97516
lunar,partial,2480002.39992,0.2356,146,68.30603
lunar,penumbral,2480150.69148,0.6558,113,217.34752
solar,total,2480165.24786,1.0701,139,51.46239
lunar,penumbral,2480327.63059,0.8171,118,28.12601
solar,annular,2480342.20537,0.9255,144,222.67017
lunar,penumbral,2480357.02782,0.0615,156,57.57224
lunar,partial,2480504.71580,0.9451,123,206.39963
solar,total,2480519.95154,1.0512,149,41.25608
lunar,total,2480682.22951,1.0791,128,17.57985
solar,annular,2480696.25788,0.9484,154,211.49436
solar,partial,2480845.01406,0.8734,121,1.80431
lunar,total,2480858.97475,1.3460,133,195.61470
solar,partial,2481021.19316,0.8743,126,171.81291
lunar,total,2481036.57826,1.2443,138,6.85280
solar,annular,2481199.14133,0.9304,131,350.72736
lunar,partial,2481213.51529,0.0953,143,185.03519
solar,total,2481375.88022,1.0720,136,161.57344
lunar,penumbral,2481390.64961,0.9270,148,355.92822
lunar,partial,2481538.77036,0.0134,115,144.96933
solar,annular,2481553.11597,0.9298,141,339.43270
lunar,penumbral,2481715.11576,1.0011,120,316.53181
solar,total,2481730.55302,1.0452,146,151.36575
lunar,total,2481893.26859,1.2052,125,134.08852
solar,partial,2481907.25458,0.9433,151,328.24945
solar,partial,2482055.50999,0.0168,118,112.78674
lunar,total,2482069.54553,1.4773,130,306.18525
solar,partial,2482085.02409,0.6146,156,141.00741
solar,partial,2482232.22944,0.8723,123,287.34586
lunar,total,2482247.46736,1.1513,135,122.86640
solar,annular,2482409.57669,0.9421,128,102.12816
lunar,partial,2482424.20753,0.9119,140,296.08156
solar,total,2482586.88458,1.0396,133,276.55889
lunar,penumbral,2482601.43922,0.9927,145,111.39159
lunar,penumbral,2482749.59556,0.5065,112,258.04384
solar,annular,2482763.63977,0.9704,138,91.46266
lunar,penumbral,2482778.91991,0.5047,150,286.03645
lunar,penumbral,2482925.85110,0.6387,117,69.84379
solar,annular,2482941.44292,0.9971,143,265.67757
lunar,partial,2483104.03041,0.8180,122,247.69281
solar,total,2483117.96336,1.0174,148,81.03934
lunar,partial,2483280.34701,0.9865,127,58.97430
solar,partial,2483295.73536,0.9271,153,254.54912
solar,partial,2483443.25326,0.8011,120,42.58564
lunar,total,2483458.16343,1.4554,132,237.00643
solar,partial,2483472.56058,0.2146,158,70.84614
solar,partial,2483619.99094,0.4696,125,213.29290
lunar,total,2483635.00385,1.5006,137,48.31629
solar,total,2483797.93876,1.0474,130,32.31004
lunar,partial,2483812.17836,0.1019,142,226.15538
solar,annular,2483974.11672,0.9727,135,202.24318
lunar,partial,2483989.62731,0.1831,147,37.67458
lunar,penumbral,2484136.89877,0.8332,114,186.46609
solar,annular,2484152.44771,0.9919,140,21.80042
lunar,penumbral,2484314.42450,0.7893,119,357.72174
solar,total,2484328.55235,1.0333,145,191.57367
lunar,total,2484491.49203,1.2012,124,175.88437
solar,partial,2484506.65148,0.7843,150,10.92724
lunar,total,2484668.45311,1.0377,129,346.80114
solar,total,2484683.20597,1.0562,155,181.17859
solar,partial,2484830.91296,0.6558,122,329.98522
lunar,total,2484846.16553,1.2832,134,165.32649
solar,total,2485008.52411,1.0216,127,142.50270
lunar,total,2485022.52668,1.2351,139,335.98486
solar,annular,2485185.13218,0.9840,132,318.83145
lunar,penumbral,2485200.72291,0.9383,144,154.58650
lunar,penumbral,2485347.52914,0.0620,111,297.39705
solar,annular,2485362.91635,0.9794,137,132.10026
lunar,penumbral,2485376.88471,0.9131,149,325.49818
lunar,penumbral,2485525.25003,0.7553,116,113.28535
solar,total,2485539.64046,1.0340,142,307.93218
lunar,partial,2485702.22521,0.4872,121,287.33703
solar,annular,2485717.02227,0.9463,147,121.45374
lunar,partial,2485879.20840,0.8871,126,101.78238
solar,total,2485894.29101,1.0342,152,297.15087
solar,partial,2486041.51541,0.1618,119,82.58058
lunar,total,2486056.91802,1.8234,131,277.28403
solar,partial,2486071.05874,0.4224,157,110.76760
solar,partial,2486219.33745,0.7046,124,256.22339
lunar,total,2486233.33093,1.4627,136,90.45252
solar,total,2486395.92199,1.0332,129,72.20721
lunar,partial,2486411.41679,0.4459,141,267.02956
solar,annular,2486573.54372,0.9330,134,245.03998
lunar,partial,2486587.76044,0.2565,146,79.45586
lunar,penumbral,2486735.97549,0.5309,113,227.94965
solar,total,2486750.56752,1.0737,139,62.02967
lunar,penumbral,2486765.61367,0.0047,151,256.46651
lunar,penumbral,2486912.97943,0.7666,118,39.07846
solar,annular,2486927.52517,0.9237,144,233.67380
lunar,penumbral,2486942.39053,0.0862,156,68.68832
lunar,partial,2487090.01270,0.8420,123,217.07262
solar,total,2487105.27397,1.0538,149,51.87312
lunar,total,2487267.56314,1.0097,128,28.45947
solar,annular,2487281.58432,0.9494,154,222.44837
solar,partial,2487430.33508,0.7984,121,12.64676
lunar,total,2487444.29500,1.4369,133,206.37313
solar,partial,2487606.52171,0.7871,126,182.53134
lunar,total,2487621.88887,1.3246,138,17.64400
solar,partial,2487635.94179,0.0056,164,211.58061
solar,annular,2487784.45454,0.9318,131,1.63898
lunar,partial,2487798.85481,0.1680,143,195.88694
solar,total,2487961.20686,1.0684,136,172.22258
lunar,penumbral,2487975.94211,1.0340,148,6.62595
lunar,penumbral,2488124.12860,0.9649,115,156.06359
solar,annular,2488138.43624,0.9338,141,350.41700
lunar,penumbral,2488300.40623,0.8716,120,327.02944
solar,total,2488315.86759,1.0402,146,161.95073
