# Source: Swiss Ephemeris 2.10.03 (libswisseph-sys 0.1.2), swe_lun_occult_when_loc / swe_lun_occult_when_glob / swe_lun_occult_where, iflag=516 (SEFLG_MOSEPH|SEFLG_NOGDEFL).
# Lunar occultations of bright stars & planets. mode=loc: local circumstances at one observer from swe_lun_occult_when_loc evaluated with SE_ECL_ONE_TRY (the single lunar conjunction nearest jd_tt): max + contacts C1..C4, magnitude=attr[0] (covered diameter fraction), obscuration=attr[2] (covered disc fraction). occ_type=0 with all time/attr fields -1 means that conjunction is not an occultation at that observer (beyond the graze limit). mode=glob: next occultation anywhere (swe_lun_occult_when_glob, max only) localized by swe_lun_occult_where (sub-lunar lon/lat + attrs). occ_type: 2=Total, 1=Grazing, 0=Miss/no-event. central: 1 if SE flags SE_ECL_CENTRAL else 0. Unused numeric fields are -1: for loc rows sublunar_lat/lon=-1; for glob rows lat/lon/elev and c1..c4=-1. jd_tt is the search-start epoch; jd_tt/max_jd/c*_jd are ALL in TDB (jd_ut + swe_deltat). Non-occultable star (Sirius) -> occ_type=0 no-event row (SE rejects it: ecliptic latitude beyond ~7 deg).
label,mode,se_body,star,jd_tt,lat,lon,elev,max_jd,c1_jd,c2_jd,c3_jd,c4_jd,magnitude,obscuration,occ_type,sublunar_lat,sublunar_lon,central
Aldebaran,glob,-1,Aldebaran,2451544.500738756,-1,-1,-1,2451561.306827424,-1,-1,-1,-1,1.000000000,1.000000000,2,70.032605,-122.699374,0
Aldebaran@center,loc,-1,Aldebaran,2451560.806827419,70.032605,-122.699374,0.0,2451561.306803673,2451561.294435623,2451561.294435623,2451561.319233370,2451561.319233370,1.000000000,1.000000000,2,-1,-1,0
Aldebaran@miss,loc,-1,Aldebaran,2451560.806827419,68.282605,-122.699374,0.0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0
Aldebaran,glob,-1,Aldebaran,2455197.500764702,-1,-1,-1,2457052.221811825,-1,-1,-1,-1,1.000000000,1.000000000,2,72.562515,-120.579178,0
Aldebaran@center,loc,-1,Aldebaran,2457051.721811818,72.562515,-120.579178,0.0,2457052.221786267,2457052.215911854,2457052.215911854,2457052.227668370,2457052.227668370,1.000000000,1.000000000,2,-1,-1,0
Aldebaran@miss,loc,-1,Aldebaran,2457051.721811818,71.562515,-120.579178,0.0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0
Aldebaran,glob,-1,Aldebaran,2458849.500802792,-1,-1,-1,2463828.036661253,-1,-1,-1,-1,1.000000000,1.000000000,2,72.588516,107.102123,0
Aldebaran@center,loc,-1,Aldebaran,2463827.536661250,72.588516,107.102123,0.0,2463828.036639955,2463828.024477392,2463828.024477392,2463828.048833580,2463828.048833580,1.000000000,1.000000000,2,-1,-1,0
Aldebaran@miss,loc,-1,Aldebaran,2463827.536661250,71.588516,107.102123,0.0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0
Regulus,glob,-1,Regulus,2451544.500738756,-1,-1,-1,2454107.765456734,-1,-1,-1,-1,1.000000000,1.000000000,2,62.136507,64.118130,0
Regulus@center,loc,-1,Regulus,2454107.265456729,62.136507,64.118130,0.0,2454107.765509983,2454107.753149565,2454107.753149565,2454107.777727297,2454107.777727297,1.000000000,1.000000000,2,-1,-1,0
Regulus@miss,loc,-1,Regulus,2454107.265456729,57.886507,64.118130,0.0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0
Regulus,glob,-1,Regulus,2455197.500764702,-1,-1,-1,2457741.256639865,-1,-1,-1,-1,1.000000000,1.000000000,2,-70.495707,99.034297,0
Regulus@center,loc,-1,Regulus,2457740.756639858,-70.495707,99.034297,0.0,2457741.256582170,2457741.235186200,2457741.235186200,2457741.278342194,2457741.278342194,1.000000000,1.000000000,2,-1,-1,0
Regulus@miss,loc,-1,Regulus,2457740.756639858,-30.495707,99.034297,0.0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0
Regulus,glob,-1,Regulus,2458849.500802792,-1,-1,-1,2460883.394225484,-1,-1,-1,-1,1.000000000,1.000000000,2,62.108430,-0.585836,0
Regulus@center,loc,-1,Regulus,2460882.894225485,62.108430,-0.585836,0.0,2460883.394272637,2460883.390386355,2460883.390386355,2460883.398145277,2460883.398145277,1.000000000,1.000000000,2,-1,-1,0
Regulus@miss,loc,-1,Regulus,2460882.894225485,60.108430,-0.585836,0.0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0
Spica,glob,-1,Spica,2451544.500738756,-1,-1,-1,2453620.780228760,-1,-1,-1,-1,1.000000000,1.000000000,2,61.080897,-176.764219,0
Spica@center,loc,-1,Spica,2453620.280228757,61.080897,-176.764219,0.0,2453620.780327074,2453620.767175271,2453620.767175271,2453620.793274322,2453620.793274322,1.000000000,1.000000000,2,-1,-1,0
Spica@miss,loc,-1,Spica,2453620.280228757,42.830897,-176.764219,0.0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0
Spica,glob,-1,Spica,2455197.500764702,-1,-1,-1,2456134.183363612,-1,-1,-1,-1,1.000000000,1.000000000,2,-69.101805,-109.502595,0
Spica@center,loc,-1,Spica,2456133.683363608,-69.101805,-109.502595,0.0,2456134.183322114,2456134.170751732,2456134.170751732,2456134.196001260,2456134.196001260,1.000000000,1.000000000,2,-1,-1,0
Spica@miss,loc,-1,Spica,2456133.683363608,-65.851805,-109.502595,0.0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0
Spica,glob,-1,Spica,2458849.500802792,-1,-1,-1,2460478.302502444,-1,-1,-1,-1,1.000000000,1.000000000,2,61.248513,76.033428,0
Spica@center,loc,-1,Spica,2460477.802502446,61.248513,76.033428,0.0,2460478.302593742,2460478.284142248,2460478.284142248,2460478.320634143,2460478.320634143,1.000000000,1.000000000,2,-1,-1,0
Spica@miss,loc,-1,Spica,2460477.802502446,34.748513,76.033428,0.0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0
Antares,glob,-1,Antares,2451544.500738756,-1,-1,-1,2453378.335433673,-1,-1,-1,-1,1.000000000,1.000000000,2,60.832407,-134.028277,0
Antares@center,loc,-1,Antares,2453377.835433671,60.832407,-134.028277,0.0,2453378.335500773,2453378.327298859,2453378.327298859,2453378.343665661,2453378.343665661,1.000000000,1.000000000,2,-1,-1,0
Antares@miss,loc,-1,Antares,2453377.835433671,49.832407,-134.028277,0.0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0
Antares,glob,-1,Antares,2455197.500764702,-1,-1,-1,2455208.049309896,-1,-1,-1,-1,1.000000000,1.000000000,2,63.058563,-50.329792,0
Antares@center,loc,-1,Antares,2455207.549309892,63.058563,-50.329792,0.0,2455208.049313420,2455208.029072591,2455208.029072591,2455208.069457825,2455208.069457825,1.000000000,1.000000000,2,-1,-1,0
Antares@miss,loc,-1,Antares,2455207.549309892,36.558563,-50.329792,0.0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0
Antares,glob,-1,Antares,2458849.500802792,-1,-1,-1,2460181.604953771,-1,-1,-1,-1,1.000000000,1.000000000,2,60.868606,-96.751292,0
Antares@center,loc,-1,Antares,2460181.104953772,60.868606,-96.751292,0.0,2460181.605003711,2460181.581437390,2460181.581437390,2460181.628246552,2460181.628246552,1.000000000,1.000000000,2,-1,-1,0
Antares@miss,loc,-1,Antares,2460181.104953772,24.618606,-96.751292,0.0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0
Venus,glob,3,,2451544.500738756,-1,-1,-1,2451607.545580939,-1,-1,-1,-1,81.985608045,26652.121731205,2,-57.297235,158.749212,1
Venus@center,loc,3,,2451607.045580935,-57.297235,158.749212,0.0,2451607.545626446,2451607.515141946,2451607.515541948,2451607.574993089,2451607.575374259,82.058513653,26652.115977797,2,-1,-1,0
Venus@graze,loc,3,,2451607.045580935,-34.797235,158.749212,0.0,2451607.572609598,2451607.568739504,-1,-1,2451607.568685431,0.482968711,0.477672256,1,-1,-1,0
Venus@miss,loc,3,,2451607.045580935,-34.547235,158.749212,0.0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0
Venus,glob,3,,2458849.500802792,-1,-1,-1,2459019.856341079,-1,-1,-1,-1,18.282134965,1271.215240872,2,65.823509,-1.329670,1
Venus@center,loc,3,,2459019.356341079,65.823509,-1.329670,0.0,2459019.856283948,2459019.832722520,2459019.834016187,2459019.878944108,2459019.880282261,18.318470117,1271.209078791,2,-1,-1,0
Venus@graze,loc,3,,2459019.356341079,37.573509,-1.329670,0.0,2459019.823280911,2459019.815085882,-1,-1,2459019.831617472,0.939641737,0.974959579,1,-1,-1,0
Venus@miss,loc,3,,2459019.356341079,36.073509,-1.329670,0.0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0
Jupiter,glob,5,,2451544.500738756,-1,-1,-1,2452081.647532253,-1,-1,-1,-1,31.748586058,3911.848331490,2,-23.947498,128.303247,1
Jupiter@center,loc,5,,2452081.147532250,-23.947498,128.303247,0.0,2452081.647535027,2452081.615381757,2452081.616413101,2452081.678540876,2452081.679564441,31.748744059,3911.848336011,2,-1,-1,0
Jupiter@graze,loc,5,,2452081.147532250,-3.947498,128.303247,0.0,2452081.654830716,2452081.646942026,-1,-1,2452081.662694904,0.913100758,0.957358341,1,-1,-1,0
Jupiter@miss,loc,5,,2452081.147532250,-3.197498,128.303247,0.0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0
Jupiter,glob,5,,2458849.500802792,-1,-1,-1,2458871.612564403,-1,-1,-1,-1,30.168467997,3533.128554469,2,-45.520825,120.413185,1
Jupiter@center,loc,5,,2458871.112564402,-45.520825,120.413185,0.0,2458871.612560812,2458871.582121983,2458871.583147942,2458871.641988018,2458871.643015564,30.168590408,3533.128795998,2,-1,-1,0
Jupiter@graze,loc,5,,2458871.112564402,-29.520825,120.413185,0.0,2458871.612154707,2458871.603519928,-1,-1,2458871.620793060,0.903658654,0.950357891,1,-1,-1,0
Jupiter@miss,loc,5,,2458871.112564402,-29.020825,120.413185,0.0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0
Saturn,glob,6,,2451544.500738756,-1,-1,-1,2452052.768799141,-1,-1,-1,-1,30.852333180,14429.081841530,2,-65.690063,123.901736,0
Saturn@center,loc,6,,2452052.268799137,-65.690063,123.901736,0.0,2452052.768861895,2452052.748833583,2452052.749294734,2452052.788157337,2452052.788605659,30.852799740,14429.052610960,2,-1,-1,0
Saturn@graze,loc,6,,2452052.268799137,-35.940063,123.901736,0.0,2452052.796690604,2452052.792603286,-1,-1,2452052.792598564,0.747000224,0.800605415,1,-1,-1,0
Saturn@miss,loc,6,,2452052.268799137,-35.440063,123.901736,0.0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0
Saturn,glob,6,,2458849.500802792,-1,-1,-1,2460406.930416423,-1,-1,-1,-1,48.710954700,17046.579654950,2,-61.790886,101.031805,0
Saturn@center,loc,6,,2460406.430416424,-61.790886,101.031805,0.0,2460406.930483789,2460406.913269953,2460406.913568507,2460406.947117324,2460406.947406120,48.712794296,17046.475807182,2,-1,-1,0
Saturn@miss,loc,6,,2460406.430416424,-53.790886,101.031805,0.0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0
Sirius@Greenwich,loc,-1,Sirius,2451544.500738756,51.477900,0.000000,0.0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0
Sirius@Sydney,loc,-1,Sirius,2451544.500738756,-33.870000,151.210000,40.0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0
Sirius@Tokyo,loc,-1,Sirius,2451544.500738756,35.690000,139.690000,40.0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0
